site	out_tag	sample_dir	group
ALI	ali	/home/algol/projects/metagenomes/ALI_MergedLibrary	focal
WAS	was	/home/algol/projects/metagenomes/WAS_MergedLibraries	focal
QU	qu	/home/algol/projects/metagenomes/QU_MergedLibrary	focal
SD	sd	/home/algol/projects/metagenomes/SD_MergedLibraries	focal
ASL	asl	/home/algol/projects/metagenomes/ASL_MergedLibrary	other
JN	jn	/home/algol/projects/metagenomes/JN_MergedLibrary	other
JS	js	/home/algol/projects/metagenomes/JS_MergedLibrary	other
MA	ma	/home/algol/projects/metagenomes/MA_MergedLibrary	other
NC	nc	/home/algol/projects/metagenomes/NC_MergedLibrary	other
NN	nn	/home/algol/projects/metagenomes/NN_MergedLibrary	other
SW	sw	/home/algol/projects/metagenomes/SW_MergedLibrary	other
FR	fr	/home/algol/projects/metagenomes/FR_MergedLibrary	other
PO	po	/home/algol/projects/metagenomes/PO_MergedLibrary	other
CZ	cz	/home/algol/projects/metagenomes/CZ_MergedLibrary	other
WN	wn	/home/algol/projects/metagenomes/WN_MergedLibrary	other
