isolate	species	color_hex
Isol97	Vibrio sp.	#AECCC8
Isol102	Vibrio sp.	#AECCC8
Isol100	Vibrio sp.	#AECCC8
Isol101	Vibrio sp.	#AECCC8
Isol127	Vibrio lentus	#A6E1F7
Isol124	Vibrio lentus	#A6E1F7
Isol88	Vibrio lentus	#A6E1F7
Isol89	Vibrio lentus	#A6E1F7
Isol153	Vibrio sp.(coralliirubri-related lineage)	#F7E6B2
Isol87	Vibrio toranzoniae	#ACA7CE
Isol103	Vibrio toranzoniae	#ACA7CE
Isol129	Vibrio toranzoniae	#ACA7CE
Isol126	Vibrio toranzoniae	#ACA7CE
Isol104	Vibrio cyclitrophicus	#DFAD9C
Isol95	Vibrio cyclitrophicus	#DFAD9C
Isol90	Vibrio cyclitrophicus	#DFAD9C
Isol92	Vibrio cyclitrophicus	#DFAD9C
Isol140	Vibrio cyclitrophicus	#DFAD9C
Isol141	Vibrio cyclitrophicus	#DFAD9C
